key,value,date
Steven,174,10/08/19
Steven,193,10/09/19
Steven,84,10/10/19
Steven,59,10/11/19
Steven,159,10/12/19
Steven,68,10/13/19
Steven,107,10/14/19
Steven,89,10/15/19
Steven,116,10/16/19
Steven,108,10/17/19
Steven,60,10/18/19
Steven,166,10/19/19
Steven,118,10/20/19
Steven,201,10/21/19
Steven,198,10/22/19
Steven,178,10/23/19
Steven,86,10/24/19
Steven,66,10/25/19
Steven,222,10/26/19
Steven,164,10/27/19
Steven,127,10/28/19
Steven,128,10/29/19
Steven,143,10/30/19
Steven,58,10/31/19
Steven,89,11/01/19
Steven,44,11/02/19
Steven,165,11/03/19
Steven,169,11/04/19
Steven,56,11/05/19
Steven,74,11/06/19
Steven,89,11/07/19
Steven,86,11/08/19
Kei,0,10/08/19
Kei,76,10/09/19
Kei,30,10/10/19
Kei,77,10/11/19
Kei,119,10/12/19
Kei,112,10/13/19
Kei,118,10/14/19
Kei,49,10/15/19
Kei,21,10/16/19
Kei,33,10/17/19
Kei,21,10/18/19
Kei,118,10/19/19
Kei,39,10/20/19
Kei,51,10/21/19
Kei,11,10/22/19
Kei,32,10/23/19
Kei,35,10/24/19
Kei,111,10/25/19
Kei,0,10/26/19
Kei,0,10/27/19
Kei,24,10/28/19
Kei,24,10/29/19
Kei,92,10/30/19
Kei,79,10/31/19
Kei,70,11/01/19
Kei,68,11/02/19
Kei,89,11/03/19
Kei,76,11/04/19
Kei,144,11/05/19
Kei,117,11/06/19
Kei,22,11/07/19
Kei,127,11/08/19
Cairo,39,10/08/19
Cairo,235,10/09/19
Cairo,10,10/10/19
Cairo,23,10/11/19
Cairo,7,10/12/19
Cairo,30,10/13/19
Cairo,1,10/14/19
Cairo,63,10/15/19
Cairo,116,10/16/19
Cairo,98,10/17/19
Cairo,4,10/18/19
Cairo,20,10/19/19
Cairo,49,10/20/19
Cairo,57,10/21/19
Cairo,52,10/22/19
Cairo,124,10/23/19
Cairo,21,10/24/19
Cairo,68,10/25/19
Cairo,41,10/26/19
Cairo,263,10/27/19
Cairo,199,10/28/19
Cairo,106,10/29/19
Cairo,100,10/30/19
Cairo,37,10/31/19
Cairo,26,11/01/19
Cairo,1,11/02/19
Cairo,10,11/03/19
Cairo,12,11/04/19
Cairo,37,11/05/19
Cairo,116,11/06/19
Cairo,0,11/07/19
Cairo,110,11/08/19
Zoe,100,10/08/19
Zoe,48,10/09/19
Zoe,96,10/10/19
Zoe,34,10/11/19
Zoe,80,10/12/19
Zoe,26,10/13/19
Zoe,90,10/14/19
Zoe,166,10/15/19
Zoe,82,10/16/19
Zoe,46,10/17/19
Zoe,77,10/18/19
Zoe,45,10/19/19
Zoe,56,10/20/19
Zoe,128,10/21/19
Zoe,62,10/22/19
Zoe,76,10/23/19
Zoe,105,10/24/19
Zoe,36,10/25/19
Zoe,66,10/26/19
Zoe,51,10/27/19
Zoe,64,10/28/19
Zoe,54,10/29/19
Zoe,50,10/30/19
Zoe,133,10/31/19
Zoe,99,11/01/19
Zoe,82,11/02/19
Zoe,69,11/03/19
Zoe,135,11/04/19
Zoe,56,11/05/19
Zoe,109,11/06/19
Zoe,75,11/07/19
Zoe,143,11/08/19
